jobID,jobTitle,jobDescription,jobLocation,educationLevel,requiredSkills,experience,salary,workMode,numberofpositions,companyName,companyAssets,noOfEmployees,companyCeo,companySector
54,JAVA GWT,"Job Description: 1. Very Good knowledge & Hands on Experience on GWT (Google Web Toolkit) 2.6.1 version and above 2. Should know how to use GWT Super Develope mode and should be able debug to GWT application 3. Extensive Knowledge on Java & J2EE (Core Java, Spring, Hibernate) 4. Very Good Knowledge & Hands on Experience on front end UI development, java script, JQuery. 5. Should be Very Good on Oracle SQL Queries and should be able to write complex queries and stored procedures. 6. Strong work experience on REST Web Servers development and consuming 7. Should be comfortable to use the IDE tools like Eclipse / STS. 8. Experience or knowledge on Teradata, Informatica is plus. 9. Very Good Communication, Leading and analytical ability Experience : 2 - 7 Years Work location : Bangalore Interview mode : Telephonic/ Face to Face/ Skype Number of position : 5 Notice period : Can join in 20-30 Days Interested candidate can share their resume on talent.connect@cignex.com Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills JAVA and GWT Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: CIGNEX Datamatics Technologies Ltd. Since 2000, our focus on Open Source technology has taken us to a new level of delivering innovative solutions. Our reusable components, tool kits, and frameworks act as accelerators to facilitate the rapid deployment of our client solutions. With 500+ Enterprise Open Source consultants, our skills and integration expertise as an Open Source System Integrator (with Open Source and proprietary technologies) have led to highly successful implementations for large corporations around the globe including 50 of the Fortune 1000, over 100 companies with a billion or more in revenues ranging from private entities to government agencies and nimble start-ups. Download PPT Photo 1   View Contact Details","Seattle, WA",Bachelors,"Data Clustering, Data Blending, Data Privacy, Data Partitioning, MapReduce, Data Labeling, Data Modeling, Data Recovery, Data Exploration, Data Integration, Data Governance, Data Imputation, Data Classification, Python, Data Ethics, Data Simulation, Data Query Languages (e.g., HiveQL, PigLatin), Data Resilience, Data Flow Diagrams, Data Schema Design, Data Aggregation, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Encryption, Predictive Analytics, Data Profiling Tools, Data Storage (e.g., HDFS), Data Migration Strategies, Data Lineage, Business Intelligence, Data Ethics Compliance, Data Analysis Frameworks (e.g., Pandas, NumPy), Data Quality Assurance, Data Architecture, Text Analysis, Data Synchronization, Data Dictionary Management, Data Validation Testing, Data Cleaning Techniques, Data Compression, Apache Kafka, Natural Language Processing (NLP), Dimensionality Reduction, Machine Learning, Data Pipelines, Data Analysis, Deep Learning, Data Governance Frameworks (e.g., GDPR, CCPA), Data Querying, Data Reduction Techniques, Hadoop, Data Versioning, ETL (Extract, Transform, Load), Data Governance Policies, Data Visualization, Data Resampling, Data Privacy Regulations, Data Cleaning, Data Storytelling, Cloud Computing (e.g., AWS, Azure, GCP), Data Annotation, Data Migration, Data Augmentation, Data Archiving, A/B Testing, NoSQL, R, Data Mining",4,36524.75,Hybrid,5,Sysco,"$17,757","66,500",Thomas L. Ben�,Wholesalers
55,Java Developers,"Core software development in Java.Min 3-8 years experience in Application software designing, programming & delivery..Knowledge of hardware infrastructure like servers, network, cloud, VPS & Domains.Java Multithreading,Spring, Server Deployment ,sql Salary:INR 4,00,000 - 8,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Software Development OOPS CLOUD Lead Developer software programming Multithreading Socket programming Concurrency JAVA Struts Webservices JSON JSP SOAP Data serialization RMI XML FTP SSH Design patterns Core Design Servlet pl Desired Candidate Profile knowledge of Java as a programming language and OOPS concepts.Knowledge of Advanced Java (J2EE) concepts like Servlets and JSP, SOAP based web service development. Multi threading in Java.Socket programming in Java. Concurrency in Java,mysql,pl, Education- UG: B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, B.Sc - Any Specialization, BCA - Computers PG:M.Tech - Any Specialization, MCA - Computers, PG Diploma - Any Specialization Company Profile: Kinesis Management Consultant Pvt. Ltd company based in Mumbai and Delhi with team strength of around 100.Our solutions make factory operations more efficient, more reliable and less user dependent, using a combination of software, electronics and process engineering. Download PPT Photo 1   View Contact Details","San Antonio, TX",Bachelors,"Data Profiling Tools, Data Validation Testing, Data Replication, SQL, Data Normalization, Machine Learning, Spark, NoSQL, Python, Big Data Technologies, Data Schema Design, Data Synchronization, Data Cleaning Tools (e.g., OpenRefine), Cloud Computing (e.g., AWS, Azure, GCP), Hadoop, Data Privacy",4,32673.54,Remote,7,Disney,"$95,789","199,000",Robert A. Iger,Media
56,Wealth Planning Offices - Direct Sales - Life Insurance,"Candidate should have sales experience in any field - Company will provide existing customer data base. Candidate to develop and implement short term and long term plans to achieve sales target . JOB Role is to Sell Life Insurance Policies Salary:INR 2,50,000 - 3,00,000 P.A Industry: Insurance Functional Area: Sales , Retail , Business Development Role Category:Corporate Sales Role:Sales/Business Development Manager Keyskills Direct Sales Relationship Management Insurance Sales JOBs RBG HR advisor Corporate Sales institutional sales Delhi noida Ghaziabad Desired Candidate Profile Skill Required : Minimum 1 year of experience in sales. Max Age 29 Presentable candidate with good communication skills. Candidate with relationship building and leadership skills. Education- PG:Post Graduation Not Required Company Profile: RBG HR SERVICES LLP Life Insurance Company RBG HR Services Hiring for Life Insurance Company Download PPT Photo 1   View Contact Details","Chicago, IL",Bachelors,"Data Masking, Data Integration, Data Cataloging, Machine Learning, Data Dictionary Management, Data Governance Policies, Data Mining, Distributed Computing, Data Cleaning Tools (e.g., OpenRefine), Data Transformation, Text Analysis, Deep Learning, Data Blending, Data Shuffling, Predictive Analytics, Data Exploration, Data Partitioning, MapReduce, Python, Data Pipelines, Data Labeling, Cloud Computing (e.g., AWS, Azure, GCP), Data Governance Frameworks (e.g., HIPAA, SOX), Data Annotation, Statistical Analysis, SQL, Natural Language Processing (NLP), Data Resampling, Data Backup Solutions, Data Engineering, Data Aggregation, Data Validation, Data Preprocessing, Data Lakes, Data Visualization, Data Resilience, Data Storage (e.g., HDFS)",4,81814.84,Hybrid,5,Humana,"$27,178","45,900",Bruce D. Broussard,Health Care
57,Senior Manager/deputy General Manager- Digital Marketing,"Drive & manage all digital campaigns for lead generation & awareness creation. Manage company's online presence in order to engage with prospects & existing customers. Develop & Manage Corporate Website by using new technologies Salary: Not Disclosed by Recruiter Industry: Insurance Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Online/Digital Marketing Role:Social Media Marketing Manager Keyskills Senior Manager Deputy General Manager Digital Marketing Marketing Campaign management online marketing Desired Candidate Profile Qualification -MBA 'Marketing' Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - Marketing Doctorate:Doctorate Not Required Company Profile: HumanKonnect Leading client of HumanKonnect Download PPT Photo 1   View Contact Details","Tampa, FL",Bachelors,"Distributed Computing, Data Migration, Data Aggregation, Data Transformation, ETL (Extract, Transform, Load), Text Analysis, Data Analysis Frameworks (e.g., Pandas, NumPy), Data Privacy Regulations, SQL, Data Governance Frameworks (e.g., HIPAA, SOX), Data Engineering, Data Wrangling, Data Pipelining, Data Quality Assurance, Data Masking, Data Annotation, Apache Kafka, Data Partitioning, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Validation, Data Exploration, Data Lineage, Spark, Data Science, Big Data Technologies, Data Imputation, Data Profiling Tools, Data Monitoring, Data Schema Design, Data Backup Solutions, Data Simulation, Data Streaming, Business Intelligence, R, Hadoop, Data Compression, Data Storytelling, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), Data Cataloging, Data Archiving, Data Validation Testing, Data Recovery, Data Integration, Data Cleaning Techniques, Data Augmentation, Data Resampling, Deep Learning, Stream Processing, Data Profiling, Data Governance Policies, Data Replication, Data Migration Strategies, Data Modeling, Data Preprocessing, Data Blending, Dimensionality Reduction, Data Ethics Compliance, Data Dictionary Management, Data Visualization Tools (e.g., Tableau, Power BI), Data Security, Data Synchronization, Data Lakes, Data Querying, Data Pipelines, Machine Learning",3,126329.48,Remote,,Pfizer,"$171,797","90,200",Ian C. Read,Health Care
58,Dot Net Developer - ( Bangalore - Whitefield),"Job Description We are looking for developers well verse in C#, SQL Server, .NET MVC and has a practical understanding of how to build scalable, reliable systems. You will be working on algorithms and smart backend APIs to power highly connected transportation systems. Experience: 3-5 Years Responsibilities: - Design and build Backend Web service APIs - Deliver high quality, legible and well tested code. - Design and develop high-volume, low-latency applications without compromising Performance and Scalability. - Work at the core of the data-centric decision making approach by generating data and meaningful insights. - Integrate with existing systems and automate manual processes. - Keep thinking about the user and constantly innovate to improve the overall user experience. - Production systems monitoring and support. Skills (Required): - Hands on work experience in developing backend systems. - Good understanding of MVC framework. - Good understanding of SQL querying - joins, grouping, etc. - Good understanding of Algorithms, data structures, and other basic computing principles. - Good understanding of software architecture of contemporary highly scalable systems and reliable systems. - Eagerness to learn new technologies, languages. Salary:INR 3,00,000 - 7,50,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Web API MVC Desired Candidate Profile Please refer to the Job description above Education- UG: B.Tech/B.E. - Any Specialization, BCA - Computers Company Profile: BMS Innolabs Software Pvt. Ltd For Taxi Aggregation Company Product Company Download PPT Photo 1   View Contact Details","Columbus, OH",Bachelors,"Data Recovery, Data Cleaning, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), Data Ethics Compliance, Machine Learning, Data Shuffling, Data Pipelining, Predictive Analytics, A/B Testing, Data Lineage, Stream Processing, R",4,85101.86,In-person,,HP,"$32,913","49,000",Dion J. Weisler,Technology
59,Manager Business Analytics,"CE Mission Statement : To build India's most loved fashion brand by offering differentiated customer experience. Relevance : - Customer experience has been acknowledged as the core driver of Myntra's growth and more so going forward as we become an engagement platform rather than just a fashion retailer. CE is central to shaping the overall company direction by interacting with ALL departments (category, catalog, supply chain, tech.) to incubate and drive differentiation projects, and drive improvement initiatives - Illustrative projects that the team is working on setting up a fashion services marketplace, setting up an internal MR / Voice of Customer service line, driving differentiation projects like scheduled deliveries / alterations, operational improvements at the call center Team : - Team is a mix of people to mirror the overall org-so it has people from tech (product managers), usablity experts, fashion and retail professionals, supply chain experts and a pool of Business Analysts who provide generalist problem solving and project management skills. We have an extremely strong team-our Business Analysts are all from BCGand our CE team is headed by an ex-McKinsey Associate Partner. What we are looking for : - First and foremost,problem solving ability- they will be dealing with a very ambiguous set of problems (eg, setting up fashion services marketplace), Very action oriented (we will have a bunch of things that keep coming-up taking them to closure is a critical skill) Strong project management skills and communication / influencing skills. - Tech orientation is a must, past background in tech is not mandatory but preferred. Career progression : - We see this as a central talent pool which we are developing. One will get exposure to all aspects of the business in this role, and after 1.5 years or so, we expect (and will actively support) our BAs to move into different functions OR start playing leadership roles the businesses that are being incubated by this team. This team has great visibility internally and therefore the movement opportunities will be plentiful. Responsibilities : - Define business problems for CE and define key metrics and indicators for measurement - Conduct analysis for assigned business problem by collecting data from all internal and external sources and perform analysis to get answers to business questions. - Put together excel models for business scenario analysis - Conduct Market research for an assigned topic to dig out relevant data and analytics - Deeper analysis of consumer behaviors & trends, by reviewing the internal & external data All roles require : - Strong communication skills (verbal & written) - Strong Analytical Skills and Process Orientation - The ability to thrive in a fast-paced, start-up environment Salary: Not Disclosed by Recruiter Industry: Internet / Ecommerce Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Operations Role:Business/EDP Analyst Keyskills Data Analytics Customer Experience Business Analysis Project Management Market Research Call Center Customer Service Process Orientation Strong Communication Skills Supply Chain Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:MBA/PGDM - Any Specialization Company Profile: Myntra Designs Pvt. Ltd. Introduction Myntra is a one stop shop for all your fashion and lifestyle needs. Being India's largest e-commerce store for fashion and lifestyle products, Myntra aims at providing a hassle free and enjoyable shopping experience to shoppers across the country with the widest range of brands and products on its portal. The brand is making a conscious effort to bring the power of fashion to shoppers with an array of the latest and trendiest products available in the country. Value Proposition Myntra's value proposition revolves around giving consumers the power and ease of purchasing fashion and lifestyle products online. Offerings such as the largest in-season product catalogue, 100% authentic products, cash on delivery, EMI facility and 30 day return policy make Myntra, the preferred shopping destination in the country. To make online shopping easier for you, a dedicated customer connect team is on standby to answer your queries 24x7. Brands Myntra understands its shoppers' needs and caters to them with choice of apparel, accessories, cosmetics and footwear from over 500 leading Indian and international brands. Prominent brands include Adidas, Nike, Puma, Catwalk, Inc 5, United Colors of Benetton, FCUK, Timberland, Avirate, FabIndia and Biba to name a few. You can also shop from some recently introduced labels such as - Roadster, Sher Singh, Dressberry, Kook N Keech and ETC. Recognitions - Awarded 'Fashion eRetailer of the Year 2013' by Franchise India - Indian eRetail Awards - Awarded 'Best E-commerce Website for 2012' by IAMAI - India Digital Awards - Awarded 'Images Most Admired Retailer of the Year: Non-Store Retail' for 2012 by Images Group - Awarded 'Best E-commerce Partner of the year 2011-12' by Puma India Download PPT Photo 1   View Contact Details","Dallas, TX",Bachelors,"Data Simulation, Data Exploration, Data Engineering, Data Warehousing Solutions (e.g., Teradata, Snowflake), MapReduce, Data Quality Assurance, Data Imputation, Data Dictionary Management, Data Masking, Data Privacy, Data Replication, Data Preprocessing, Data Lakes, Data Governance, Data Validation, Data Compression, SQL, Data Labeling, Text Analysis, Data Synchronization, Data Classification, R, Machine Learning, Distributed Computing, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), Data Encryption, Data Migration Strategies, Data Governance Policies, Data Cataloging, Data Augmentation, Data Analysis Frameworks (e.g., Pandas, NumPy), Data Schema Design, Data Ethics, Natural Language Processing (NLP), Data Science, Data Governance Frameworks (e.g., GDPR, CCPA), Data Analysis",3,89029.51,Remote,,Lockheed Martin,"$46,521","100,000",Marillyn A. Hewson,Aerospace &  Defense
60,Arts Fresher,"Developed understanding of local legal compliance issues. Strong problem-solving and analytical skills. Good teamwork skills. Developing project management skills. Developing mentoring and coaching skills. Good knowledge on Microsoft Office tools (Word, Excel, Power point, Access, Visio etc.) Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Fresher Keyskills Project Management Legal Compliance Arts Fresher Desired Candidate Profile   Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required Company Profile: Magna Infotech Pvt Ltd Magna Infotech Pvt Ltd Download PPT Photo 1   View Contact Details","Seattle, WA",Bachelors,"Data Pipelines, Data Recovery, Data Profiling, Data Transformation Languages (e.g., SQL, Python, Scala), Data Privacy Regulations, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Lineage, Apache Kafka, Machine Learning, Data Versioning, MapReduce, Data Partitioning, Spark, Data Streaming, Data Cleaning Techniques, Statistical Analysis, Data Dictionary Management, Data Imputation, Data Analysis Frameworks (e.g., Pandas, NumPy), R, Text Analysis, Data Cleaning Tools (e.g., OpenRefine), Data Wrangling, Data Ethics, Data Blending, Data Visualization Tools (e.g., Tableau, Power BI), Data Monitoring, Data Warehousing, Data Resampling, Data Analysis, A/B Testing, Data Backup Solutions, Hadoop, Data Labeling, Data Masking, Natural Language Processing (NLP), Data Normalization, Deep Learning, Data Ethics Compliance, Data Archiving, Data Query Languages (e.g., HiveQL, PigLatin), Business Intelligence, Data Schema Design, Data Governance Policies, Data Mining, Data Synchronization, SQL, Data Validation, Data Migration, Data Classification, Data Governance Frameworks (e.g., GDPR, CCPA), Data Transformation, Data Pipelining, Data Flow Diagrams, Data Annotation, ETL (Extract, Transform, Load), Stream Processing, Data Clustering",1,66146.12,In-person,,AIG,"$498,301","49,800",Brian Duperreault,Financials
61,Legal Manager,"Should handle litigation Salary: Not Disclosed by Recruiter Industry: Real Estate / Property Functional Area: Legal , Regulatory , Intellectual Property Role Category:Other Role:Legal Manager Keyskills litigation Desired Candidate Profile Candidates should have good experience in handling litigation. Education- UG: LLB - Law PG:Post Graduation Not Required Doctorate:Doctorate Not Required Company Profile: Nitesh Estates Limited We are a Bangalore based integrated property developing company committed to establish International Quality Construction services using state-of-the-art techniques. Download PPT Photo 1   View Contact Details","Houston, TX",Bachelors,"Data Security, Dimensionality Reduction, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), Spark, Data Governance Policies, Data Cleaning, Natural Language Processing (NLP), Data Annotation, Data Warehousing, Data Query Languages (e.g., HiveQL, PigLatin), Machine Learning, Data Dictionary Management, Data Resilience, Data Encryption, MapReduce, ETL (Extract, Transform, Load), Data Clustering, Data Replication, Data Pipelines, Data Backup Solutions, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Storytelling, Data Analysis, Data Migration, Big Data Technologies, Data Preprocessing, Data Archiving, R, Web Scraping, Data Science, Data Profiling, Data Privacy Regulations, Data Flow Diagrams, Cloud Computing (e.g., AWS, Azure, GCP), Data Cleaning Techniques, Data Visualization Tools (e.g., Tableau, Power BI), Data Storage (e.g., HDFS), Data Imputation, Python, Data Cataloging, Data Mining, Data Validation, Data Shuffling, Time Series Analysis",5,61234.94,Hybrid,2,Centene,"$21,855","33,700",Michael F. Neidorff,Health Care
62,Need Technicians,"We do have urgent requirements for the below jobs:  Multi Skill Technician, HVAC Technician, AV Technician, plumber carpenter, Salary Range : Upto 9,000/- to 12,000/- Take Home Thanks & Regards Prakash (HR) EFS Facilities Services (India) Pvt. Ltd Brigade Square, Municipal Corporation # 21, 4 th Floor, Cambridge Road, Ulsoor, Bangalore - 560008. http://www.efsme.com/ Tel: +91 80 88814307 Salary:INR 50,000 - 2,00,000 P.A Industry: Facility Management Functional Area: Site Engineering , Project Management Role Category:Site Engineering Role:Maintenance Engineer Keyskills hvac technician AC Technician Air Conditioning av technicians carpenter multi skill technician HVAC Desired Candidate Profile Please refer to the Job description above Company Profile: EFS Facilities Services (india) Pvt. Ltd. EFS India employs more than 3200 people, with Pan India operations spanning across major cities . The Company's corporate office is at Delhi with other major offices located in Bangalore, Chennai, Mumbai and Kolkata besides other local operating offices. EFS is serving clients in areas of Integrated Facility Management and Energy Services for Industry and Power. The Facility Management vertical has a strong team of technical resources across India which is committed to strong service delivery. The Company manages about 25m sq. ft. of facilities management portfolio spread over 18 cities and 50 clients. Company's approach to Facility Management extends beyond day to day operations to overall equipment maintenance, life cycle enhancement and capital value protection for our clients. The Energy Business vertical provides the expertise and services for comprehensive O&M services for Power Plants and Industrial Facilities covering Steam Systems, Water Treatment Plants and Electrical & Mechanical Utility Systems. The Energy Business also provides Technical Services such as Supervisory Services for Construction & Commissioning, Due Diligence, Project Management Services and Technical & Performance Audits. Our present client base in India comprises a premium client base Download PPT Photo 1   View Contact Details","Phoenix, AZ",Masters,"Data Streaming, Data Clustering, Data Migration Strategies, Data Synchronization, Data Query Languages (e.g., HiveQL, PigLatin), Data Governance Frameworks (e.g., GDPR, CCPA), Data Resampling, Python, Data Simulation, SQL, Data Visualization Tools (e.g., Tableau, Power BI), Data Cleaning, Data Aggregation, Data Shuffling, Big Data Technologies, Data Pipelining, Data Validation Testing, Data Classification, Data Reduction Techniques, Stream Processing",2,123162.97,In-person,25,Cisco Systems,"$129,818","72,900",Charles H. Robbins,Technology
63,Product Manager,"Job Description PlaySimple Games is looking for Product Managers to own, ship & run mobile games at rocket speed. Its a fast-paced, high-adrenaline job, with plenty to learn and build. If you enjoy crunching numbers, are never satisfied with the products around you, and would relish a new challenge every day, youll love this job. Salary: Not Disclosed by Recruiter Industry: Internet / Ecommerce Functional Area: IT Software - Mobile Role Category:Programming & Design Role:Product Manager Keyskills Product Manager Product management Desired Candidate Profile What we're looking forNo excuse leadership  Extremely passionate about their work - all in  Quite simply, were looking for smart, creative product people who can drive results quickly, at high quality.  Strong analytical skills, and an ability to tease out actionable insights from data, are a given. Had a leadership role at a company  Ability to balance multiple projects, deadlines, and responsibilities at the same time  It would help if you had some experience running web/mobile consumer products.  It would really help if you had some experience with analytics, .  It would really, really help if you demonstrated product leadership in the past in gaming, mobile, social space. Education- UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization Doctorate:Doctorate Not Required Company Profile: PlaySimple - Startup We're building a world-class mobile entertainment company out of India. * Our first two games have been runaway hits worldwide, with over 7M+ players. Download PPT Photo 1   View Contact Details","St. Louis, MO",Bachelors,"Data Labeling, R, Dimensionality Reduction, Data Masking, Data Warehousing, Data Analysis Frameworks (e.g., Pandas, NumPy), Statistical Analysis, Data Blending, Data Resampling, Data Visualization Tools (e.g., Tableau, Power BI), Data Cataloging, Data Cleaning Techniques, Data Privacy Regulations, Distributed Computing, Data Denormalization",5,49829.31,Remote,,HCA Healthcare,"$36,593",221491,R. Milton Johnson,Health Care
64,R2R Operations Manager/bangalore - Upto 17 L,"Hiring for R2R Operations Manager for Bangalore, CA with 10+ yrs of exp into R2R (Post qualification) Taxation & Audit Client management exp mandate (International client) TL exp of 50+ members Rajni(9213701010) rajni.jobsexpert@gmail.com Salary:INR 7,00,000 - 16,00,000 P.A. Night shifts+incentives Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Assistant Manager/Manager -(NonTechnical) Keyskills Operations Manager R2R Client management International client Record to report Reconciliation Desired Candidate Profile CA with 10+ yrs of exp into R2R (Post qualification) Taxation & Audit,Reconcilations,record to report Client management exp mandate (International client) TL exp of 50+ members 9213701010 rajni.jobsexpert@gmail.com Education- UG: B.Com - Commerce, B.B.A / B.M.S - Management PG:CA Company Profile: Job Finder A small, hard-working consulting firm based out of Delhi. Established in 2005, we hit the ground running with our direct approach to finding success. Large scale solutions, End to End Recruitment and RPO, we offer our clients the full package Download PPT Photo 1   View Contact Details","Minneapolis, MN",Masters,"Data Cataloging, Data Wrangling, Data Mining, Data Blending, Data Lineage, Data Transformation Languages (e.g., SQL, Python, Scala), Data Cleaning, Data Synchronization, Big Data Technologies, Data Visualization, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), Data Validation Testing, Data Masking, Data Warehousing Solutions (e.g., Teradata, Snowflake), Data Warehousing, Data Analysis Frameworks (e.g., Pandas, NumPy), Data Aggregation, Machine Learning, MapReduce, Data Ethics, Data Privacy Regulations, Text Analysis, Data Lakes, Data Integration, Data Quality Assurance, Data Cleaning Techniques, Data Simulation, Web Scraping, Data Imputation, Cloud Computing (e.g., AWS, Azure, GCP), Data Exploration, Data Architecture, Dimensionality Reduction, Data Schema Design, Stream Processing, Data Storage (e.g., HDFS), Data Annotation, Data Query Languages (e.g., HiveQL, PigLatin), Data Versioning, Data Denormalization, Time Series Analysis, Statistical Analysis, Data Augmentation, Data Transformation, Business Intelligence, NoSQL, SQL, Data Engineering, Spark, Predictive Analytics, Data Profiling, Python, Data Profiling Tools, Data Privacy, Data Monitoring, Data Cleaning Tools (e.g., OpenRefine), Data Partitioning, Data Analysis, Data Governance Frameworks (e.g., GDPR, CCPA), Data Archiving, Data Labeling, Distributed Computing, Data Clustering, Data Resilience, Data Pipelines, Data Recovery, Apache Kafka, Data Streaming, Data Migration Strategies, Data Preprocessing, Data Classification, Natural Language Processing (NLP), ETL (Extract, Transform, Load), A/B Testing, Data Security, Data Ethics Compliance, Data Compression, Data Normalization, Data Science, Data Visualization Tools (e.g., Tableau, Power BI), Data Governance",2,80193.49,Remote,5,Energy Transfer Equity,"$86,246","29,486",John W. McReynolds,Energy
65,Opening for Hadoop Developers-product Development Client,"Greetings from Convate...!! We have an opening for Hadoop specialists with a product development client into E-commerce/Retail domain. Please find the job description below and apply only if suitable with your current profile. Job Responsibilities Able to understand and predict the emergent behaviour of complex systems Evolve alerting strategies to ensure system stability and reliability is not compromised Ability to identify/ reason about the failure modes of the system designed Build Operational and Analytical Databases to store operations, system and application metrics Build User Interactive Dashboards to showcase digital metrics Leverage machine learning and statistics to measure and evolve service SLAs Job Description Proficiency with Hadoop v2, MapReduce, HDFS Good knowledge of Big Data querying tools, such as Pig, Hive, Scoop Experience with integration of data from multiple data sources Experience with NoSQL databases, such as HBase, Cassandra, MongoDB Knowledge of various ETL techniques and frameworks, such as Flume Experience with Tabluea, Kibana Experience with Big Data ML toolkits, such as Mahout, SparkML, or H2O Experience with Cloudera/MapR/Hortonworks Experience with building stream-processing systems, using solutions such as Storm or Spark-Streaming Candidates are to note that interviews happen on Weekdays only, if available for weekday interviews kindly apply. ** Looking for early joiners/Immediate joiners preferred. ** Best Regards, Sowrabha S Kashyap Assistant Recruitment Specialist CONVATE # 41, Airport Road, Murgeshpalya, Bangalore 560017 Above Spencers, Opp to Kemp fort. P: +91-80-40609694,M: 91 9035650627 Mail: ct14@convate.com Skype Id : convate.ct14 Web: http://www.convate.com Join us on: www.facebook.com/convate Continuous Innovation in Human Resources Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Hadoop v2 MapReduce HDFS Pig Hive Scoop HBase Cassandra MongoDB Tabluea Desired Candidate Profile Please refer to the Job description above Company Profile: Convate E-commerce/retail Convate is a leading Human Resource Consulting Organization. provide Staffing solutions and Consulting services in diverse Industry segments across Management functions. We Provide services for Fortune 500 and CMM level Companies. Been in the Permanent and contract staffing for the past 11 years. Our Clients are our partners: we act together to solve their immediate and long-term business goals. We listen to their unique situation and then we work to find a solution. (www.convate.com) Download PPT Photo 1   View Contact Details","Detroit, MI",Masters,"Data Archiving, Data Querying, Data Serialization Formats (e.g., JSON, XML, Parquet, Avro), Data Lakes, MapReduce, Data Denormalization, Natural Language Processing (NLP), Data Versioning, Data Replication, Data Encryption, Data Classification, Data Resampling, Data Aggregation, Hadoop, Data Compression, Data Lineage, Data Visualization, Data Imputation, Data Science, R, Data Visualization Tools (e.g., Tableau, Power BI), Data Backup Solutions, ETL (Extract, Transform, Load), Data Migration Strategies, Data Governance Frameworks (e.g., HIPAA, SOX), NoSQL, Data Transformation, Data Privacy Regulations, Deep Learning, Data Shuffling, Business Intelligence, Data Analysis Frameworks (e.g., Pandas, NumPy), Web Scraping, Data Integration, Data Profiling Tools, Data Dictionary Management, Data Validation, Text Analysis, Data Cleaning, Data Clustering, Data Analysis, Data Pipelining, Data Architecture, Data Annotation, Statistical Analysis, Data Labeling, Big Data Technologies, Data Engineering, Data Profiling, Machine Learning, SQL, Data Wrangling, Data Query Languages (e.g., HiveQL, PigLatin), Stream Processing, Data Modeling, A/B Testing, Data Migration, Data Preprocessing, Data Ethics, Data Monitoring, Data Mining, Data Exploration, Data Cataloging, Data Partitioning, Data Quality Assurance, Predictive Analytics, Time Series Analysis, Data Blending, Python, Data Synchronization, Data Security, Data Recovery, Data Normalization, Data Reduction Techniques, Data Streaming, Data Validation Testing, Spark, Data Cleaning Techniques, Data Schema Design, Data Warehousing, Data Flow Diagrams, Data Storage (e.g., HDFS), Apache Kafka, Data Simulation, Data Ethics Compliance, Data Pipelines, Data Cleaning Tools (e.g., OpenRefine), Distributed Computing",5,132147.06,Hybrid,,Caterpillar,"$76,962","98,400",D. James Umpleby III,Industrials
